"Produto,Unidades,Categoria,Valor"
"Pulseira Borboleta Cravejado,35,Pulseira/Bracelete,R$ 21,51"
"Pulseira Coração Cravejado,20,Pulseira/Bracelete,R$ 21,51"
"Anel Borboleta Casal,10,Anel,R$ 16,81"
"Anel Asas de Anjo,11,Anel,R$ 18,59"
"Bracelete Borboleta,3,Pulseira/Bracelete,R$ 32,34"
"Bracelete Cobra Cravejada,3,Pulseira/Bracelete,R$ 34,08"
"Colar Angel Cross Asas com Cruz,5,Colar,R$ 42,41"
"Colar Eye Of Death Caveira,7,Colar,R$ 41,66"
"Colar Tigre Skull Caveira,15,Colar,R$ 42,41"
"Colar Lion KIng,33,Colar,R$ 21,84"
